#domain,ioc
vigorouseuclid.zscaler.skytapdns.com,Possible Cobalt Strike C2 Domain
wbufrkbv.gofunhome.buzz,Possible Cobalt Strike C2 Domain
webcopy.cloud,Possible Cobalt Strike C2 Domain
windowsupdate.social,Possible Cobalt Strike C2 Domain
windowsupdate.test.upcdn.net,Possible Cobalt Strike C2 Fronted Domain
www.ajzq.com,Possible Cobalt Strike C2 Fronted Domain
www.amazon.com,Possible Cobalt Strike C2 Fronting Domain
www.appinn.com,Possible Cobalt Strike C2 Fronting Domain
www.bing.com,Possible Cobalt Strike C2 Fronting Domain
www.cjjt.com.cn,Possible Cobalt Strike C2 Fronted Domain
www.dangofil.xyz,Possible Cobalt Strike C2 Fronting Domain
www.dingtalk.com,Possible Cobalt Strike C2 Fronting Domain
www.dnehtb.cn,Possible Cobalt Strike C2 Domain
